age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,cons.price.idx,cons.conf.idx,euribor3m,y
54,technician,single,university.degree,unknown,no,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
46,admin.,married,unknown,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
59,technician,married,unknown,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
49,blue-collar,married,unknown,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
54,management,married,basic,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
54,blue-collar,divorced,basic,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
34,services,married,high.school,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
52,technician,married,basic,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
41,admin.,married,university.degree,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
56,technician,married,basic,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
58,management,unknown,university.degree,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
32,entrepreneur,married,high.school,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
38,admin.,single,professional.course,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
57,admin.,married,university.degree,no,no,yes,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
44,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
42,technician,single,professional.course,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
57,admin.,married,university.degree,no,yes,yes,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
40,blue-collar,married,basic,no,no,yes,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
35,admin.,married,university.degree,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
45,blue-collar,married,basic,no,yes,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
54,admin.,married,high.school,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
39,housemaid,married,basic,no,no,yes,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
60,admin.,married,high.school,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
53,admin.,single,professional.course,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
55,blue-collar,married,basic,unknown,no,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
55,technician,married,professional.course,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
50,management,married,university.degree,unknown,no,yes,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
45,services,married,high.school,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
55,unemployed,married,professional.course,unknown,yes,yes,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
25,technician,single,university.degree,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
47,entrepreneur,married,university.degree,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
51,blue-collar,married,basic,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
42,blue-collar,married,basic,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
42,blue-collar,married,basic,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
48,admin.,married,high.school,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
37,admin.,married,university.degree,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
44,blue-collar,single,basic,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
33,admin.,married,unknown,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
56,admin.,married,basic,no,yes,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
44,blue-collar,single,basic,unknown,yes,yes,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
41,management,married,basic,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
44,management,divorced,university.degree,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
47,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
37,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
41,blue-collar,divorced,basic,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,1
55,technician,married,university.degree,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
33,services,married,high.school,unknown,yes,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
55,management,married,unknown,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
42,blue-collar,married,basic,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
50,blue-collar,married,basic,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
51,blue-collar,married,basic,unknown,unknown,unknown,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
38,admin.,married,high.school,unknown,no,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
49,entrepreneur,married,university.degree,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,1
38,technician,single,university.degree,no,no,yes,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
31,admin.,divorced,high.school,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
41,management,married,basic,no,no,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
39,admin.,married,university.degree,no,yes,yes,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
49,technician,married,basic,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,1
34,admin.,married,high.school,no,yes,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
35,admin.,married,university.degree,no,yes,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
60,admin.,married,unknown,unknown,no,yes,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
33,unemployed,married,basic,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
42,blue-collar,married,basic,no,no,yes,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
45,services,married,professional.course,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
42,management,married,university.degree,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
53,admin.,divorced,university.degree,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
37,technician,single,professional.course,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
44,blue-collar,married,basic,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
54,services,married,unknown,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
49,blue-collar,married,basic,no,no,no,telephone,may,mon,3,0,0,nonexistent,93.994,-36.4,4.857,0
54,services,married,unknown,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
52,admin.,divorced,university.degree,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
52,admin.,divorced,university.degree,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
43,services,single,high.school,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
34,housemaid,married,basic,no,yes,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
35,admin.,married,high.school,no,yes,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
42,entrepreneur,married,unknown,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
43,technician,married,unknown,unknown,yes,yes,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
60,retired,divorced,university.degree,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
58,unemployed,married,basic,unknown,no,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
35,services,divorced,high.school,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
55,blue-collar,married,basic,unknown,yes,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
37,management,married,university.degree,no,no,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
36,blue-collar,married,high.school,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
52,admin.,divorced,university.degree,no,no,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
57,blue-collar,divorced,unknown,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
56,admin.,married,unknown,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
48,blue-collar,divorced,basic,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
40,blue-collar,married,high.school,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
49,blue-collar,divorced,high.school,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
41,services,married,high.school,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
45,technician,married,high.school,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
32,admin.,married,university.degree,no,yes,yes,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
42,admin.,married,university.degree,no,no,yes,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
50,admin.,married,basic,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
31,technician,divorced,professional.course,no,yes,yes,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
56,retired,married,basic,no,yes,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
41,technician,married,professional.course,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,1
37,blue-collar,married,basic,no,yes,yes,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
41,technician,married,professional.course,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
35,blue-collar,married,unknown,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
37,blue-collar,married,basic,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
52,management,married,university.degree,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
39,management,divorced,university.degree,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
39,housemaid,married,basic,unknown,no,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
56,blue-collar,married,basic,unknown,no,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
34,services,married,high.school,no,yes,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
45,blue-collar,married,basic,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,1
43,unemployed,single,university.degree,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
56,management,married,unknown,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
39,management,married,university.degree,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
53,blue-collar,married,basic,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
42,blue-collar,married,basic,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
42,blue-collar,married,basic,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
35,admin.,single,high.school,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
40,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
51,blue-collar,married,basic,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
60,blue-collar,married,basic,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
56,entrepreneur,married,unknown,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
39,services,divorced,high.school,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
56,entrepreneur,married,unknown,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
40,blue-collar,married,unknown,no,yes,yes,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
36,blue-collar,married,basic,no,yes,yes,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
51,blue-collar,married,unknown,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
51,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
43,technician,single,professional.course,no,yes,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
59,services,married,high.school,no,no,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
24,management,single,university.degree,no,yes,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
37,blue-collar,single,basic,unknown,yes,yes,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
40,blue-collar,married,basic,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
42,blue-collar,married,basic,unknown,no,no,telephone,may,mon,3,0,0,nonexistent,93.994,-36.4,4.857,0
39,services,divorced,high.school,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
37,entrepreneur,married,basic,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
38,services,married,high.school,no,yes,yes,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
56,admin.,divorced,unknown,unknown,no,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
40,blue-collar,married,unknown,no,no,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
54,management,divorced,university.degree,no,yes,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
43,blue-collar,married,high.school,unknown,no,yes,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
36,services,married,high.school,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
45,technician,married,university.degree,no,yes,yes,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
42,admin.,single,university.degree,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
43,services,married,high.school,no,no,no,telephone,may,mon,3,0,0,nonexistent,93.994,-36.4,4.857,0
46,management,married,basic,no,no,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
44,services,married,high.school,no,yes,yes,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
51,admin.,single,basic,no,no,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
28,services,married,high.school,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
37,blue-collar,married,basic,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
34,technician,married,high.school,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
46,blue-collar,married,basic,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
42,blue-collar,married,basic,no,yes,yes,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,1
36,admin.,married,university.degree,no,yes,no,telephone,may,mon,3,0,0,nonexistent,93.994,-36.4,4.857,0
54,blue-collar,married,basic,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
57,management,married,university.degree,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
51,technician,married,basic,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
54,retired,married,high.school,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
49,blue-collar,married,basic,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
34,admin.,married,university.degree,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
41,technician,married,professional.course,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
38,blue-collar,single,basic,no,yes,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
45,management,divorced,university.degree,no,no,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
42,technician,married,university.degree,no,no,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
34,blue-collar,single,basic,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
48,blue-collar,married,basic,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
37,admin.,married,high.school,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
34,blue-collar,single,basic,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
40,admin.,married,basic,unknown,yes,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
43,blue-collar,married,basic,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
33,services,married,high.school,no,no,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
32,services,single,basic,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
39,blue-collar,married,high.school,no,yes,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
43,admin.,married,unknown,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
44,blue-collar,married,basic,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
35,student,single,university.degree,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
35,student,single,university.degree,unknown,yes,yes,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
35,unemployed,married,professional.course,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
36,services,single,basic,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
35,student,single,university.degree,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
36,student,single,basic,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
55,housemaid,divorced,university.degree,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
59,admin.,married,university.degree,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
57,retired,married,unknown,unknown,no,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
39,blue-collar,married,professional.course,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
39,housemaid,married,basic,unknown,yes,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
30,blue-collar,single,unknown,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
30,blue-collar,single,unknown,no,yes,yes,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
50,housemaid,married,basic,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
40,services,married,high.school,no,no,no,telephone,may,mon,3,0,0,nonexistent,93.994,-36.4,4.857,0
35,admin.,married,high.school,no,yes,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
43,technician,married,unknown,unknown,no,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
36,services,single,basic,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
46,technician,married,basic,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
40,technician,married,basic,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
58,retired,married,university.degree,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
42,technician,married,university.degree,no,no,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
35,admin.,single,university.degree,no,no,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
43,retired,married,basic,unknown,no,no,telephone,may,mon,3,0,0,nonexistent,93.994,-36.4,4.857,0
45,blue-collar,married,basic,no,yes,yes,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
39,admin.,married,professional.course,no,yes,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
50,services,divorced,professional.course,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
32,management,divorced,basic,unknown,yes,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
39,admin.,married,high.school,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
52,self-employed,married,university.degree,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
44,admin.,married,professional.course,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
56,blue-collar,married,basic,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
48,admin.,married,high.school,no,no,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
33,services,married,high.school,unknown,no,yes,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
43,management,married,university.degree,unknown,no,yes,telephone,may,mon,3,0,0,nonexistent,93.994,-36.4,4.857,0
57,retired,married,high.school,no,no,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
36,technician,single,professional.course,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
34,management,married,university.degree,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
34,services,single,basic,no,no,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
30,technician,married,university.degree,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
33,services,divorced,unknown,no,no,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
32,technician,single,professional.course,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
36,technician,single,high.school,no,yes,no,telephone,may,mon,2,0,0,nonexistent,93.994,-36.4,4.857,0
36,blue-collar,single,high.school,no,no,yes,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
33,services,single,high.school,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
40,technician,divorced,professional.course,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
41,blue-collar,married,basic,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
51,services,married,basic,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
36,technician,married,professional.course,no,yes,no,telephone,may,mon,3,0,0,nonexistent,93.994,-36.4,4.857,0
